EUVD,VEDAS
EUVD-1999-0124,0.0
EUVD-1999-0021,-2.0000000000575113e-07
EUVD-1999-0123,0.0
EUVD-1999-0485,0.0
EUVD-1999-0502,0.0
EUVD-1999-0136,0.0
EUVD-1999-0029,0.0
EUVD-1999-0640,0.0
EUVD-1999-0138,0.0
EUVD-1999-0510,0.0
EUVD-1999-0149,0.0
EUVD-1999-0637,0.0
EUVD-1999-0299,0.0
EUVD-1999-0151,0.0
EUVD-1999-0501,0.0
EUVD-1999-0179,0.0
EUVD-1999-0182,0.0
EUVD-1999-0498,0.0
EUVD-1999-0361,0.0
EUVD-1999-0383,0.0
EUVD-1999-0399,0.0
EUVD-1999-0100,0.0
EUVD-1999-0406,0.0
EUVD-1999-0280,0.0
EUVD-1999-0693,0.0
EUVD-1999-0700,0.0
EUVD-1999-0380,0.0
EUVD-1999-0713,0.0
EUVD-1999-0295,0.0
EUVD-1999-0698,0.0
EUVD-1999-0366,0.0
EUVD-1999-0508,0.0
EUVD-1999-0012,0.0
EUVD-1999-0013,0.0
EUVD-1999-0008,0.0
EUVD-1999-0015,0.0
EUVD-1999-0507,0.0
EUVD-1999-0045,0.0
EUVD-1999-0106,0.0
EUVD-1999-0109,0.0
EUVD-1999-0119,0.0
EUVD-1999-0115,0.0
EUVD-1999-0462,0.0
EUVD-1999-0221,0.0
EUVD-1999-0219,0.0
EUVD-1999-0234,0.0
EUVD-1999-0224,0.0
EUVD-1999-0423,0.0
EUVD-1999-0243,0.0
EUVD-1999-0244,0.0
EUVD-1999-0258,0.0
EUVD-1999-0254,0.0
EUVD-1999-0247,0.0
EUVD-1999-0425,0.0
EUVD-1999-0235,0.0
EUVD-1999-0430,0.0
EUVD-1999-0438,0.0
EUVD-1999-0434,0.0
EUVD-1999-0253,0.0
EUVD-1999-0437,0.0
EUVD-1999-0271,0.0
EUVD-1999-0265,0.0
EUVD-1999-0441,0.0
EUVD-1999-0107,0.0
EUVD-1999-0134,0.0
EUVD-1999-0141,0.0
EUVD-1999-0143,0.0
EUVD-1999-0636,0.0
EUVD-1999-0148,0.0
EUVD-1999-0140,0.0
EUVD-1999-0160,0.0
EUVD-1999-0156,0.0
EUVD-1999-0155,0.0
EUVD-1999-0158,0.0
EUVD-1999-0509,0.0
EUVD-1999-0163,0.0
EUVD-1999-0121,0.0
EUVD-1999-0118,0.0
EUVD-1999-0117,0.0
EUVD-1999-0111,0.0
EUVD-1999-0127,0.0
EUVD-1999-0131,0.0
EUVD-1999-0145,0.0
EUVD-1999-0144,0.0
EUVD-1999-0135,0.0
EUVD-1999-0137,0.0
EUVD-1999-0146,0.0
EUVD-1999-0634,0.0
EUVD-1999-0153,0.0
EUVD-1999-0152,0.0
EUVD-1999-0150,0.0
EUVD-1999-0157,0.0
EUVD-1999-0154,0.0
EUVD-1999-0161,0.0
EUVD-1999-0171,0.0
EUVD-1999-0167,0.0
EUVD-1999-0162,0.0
EUVD-1999-0164,0.0
EUVD-1999-0177,0.0
EUVD-1999-0159,0.0
EUVD-1999-0172,0.0
EUVD-1999-0176,0.0
EUVD-1999-0165,0.0
EUVD-1999-0180,0.0
EUVD-1999-0170,0.0
EUVD-1999-0186,0.0
EUVD-1999-0181,0.0
EUVD-1999-0178,0.0
EUVD-1999-0166,0.0
EUVD-1999-0185,0.0
